"random SMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"DBT:sham + neurofeedback",8.5411,0.3114,0,0,0,18.375,0.2844,0.419,0.4952,0,0.1032,0,0,0,3.1937,0,0.9849,43.2584,0,0.8067,0,5.7503,17.4667
"TAU:waiting list",20.7317,0.6824,0,0,0,2.5367,0.6233,0.9181,1.0851,0,0.2261,0,0,0,7.7519,44.7558,2.3979,0,0,1.7675,0,13.9769,2.5367
"cognitive placebo:DBT",6.0567,0.2641,0,8.1725,0,12.25,0.2412,0.3554,0.42,0,0.0875,0,0,10.0285,2.2647,0,0.8208,0,6.7719,0.6841,34.444500000000005,4.405,12.7229
"cognitive placebo:DBT + TAU",0,0,0,7.358,0,0,0,0,0,0,0,22.484,0,9.029,0,22.484,0,0,6.097,0,32.548,0,0
"cognitive placebo:TAU",0,0,0,9.537,0,0,0,0,0,0,0,0,0,11.7028,0,29.1423,0,0,7.9025,0,41.715300000000006,0,0
"cognitive placebo:hypnotherapy",0,0,0,13.5819,0,0,0,0,0,0,0,0,0,16.6664,0,0,0,0,11.2542,0,58.4875,0,0
"cognitive placebo:mindfulness",7.6735,2.1978,0,7.1704,0,1.055,5.7188,8.4244,3.4947,0,2.0749,0,0,8.7988,2.8693,0,0.9913,0,5.9415,5.6925,31.3914,5.4508,1.055
"cognitive placebo:mindfulness + TAU",0,0,0,7.358,0,0,0,0,0,22.484,0,0,0,9.029,0,22.484,0,0,6.097,0,32.548,0,0
"cognitive placebo:neurofeedback",0,0,0,8.9929,0,0,0,0,0,0,0,0,0,11.0352,0,0,0,34.1438,7.4517,0,38.37630000000001,0,0
"cognitive placebo:no treatment",0,0,0,13.638,0,0,0,0,0,0,0,0,0,16.7353,0,0,0,0,11.3008,0,58.3159,0,0
"cognitive placebo:psychoeducation",4.505,3.7437,0,7.709,0,0.6843,3.4192,5.0368,5.9529,0,1.2406,0,0,9.4598,1.6845,0,0.6419,0,6.3878,13.86,31.629699999999996,3.3604000000000003,0.6843
"cognitive placebo:relaxation therapy",2.6825,0.1234,0,9.0124,0,0.41,0.1127,0.166,0.1962,0,0.0409,0,0,11.0592,1.0031,0,12.0506,0,7.4679,0.3196,38.478,16.4673,0.41
"cognitive placebo:sham + neurofeedback",0,0,0,8.9976,0,0,0,0,0,0,0,0,0,11.0411,0,0,0,34.100300000000004,7.4556,0,38.405300000000004,0,0
"cognitive placebo:waiting list",12.7604,0.4512,0,9.0062,0,1.522,0.4121,0.607,0.7174,0,0.1495,0,0,11.0515,4.7714,0,1.4387,0,7.4627,1.1686,38.4461,8.5034,1.522
"cognitive training:DBT",7.7292,0.3077,0,0,0,18.375,0.281,0.4139,0.4892,0,0.102,0,0,0,2.8901,0,0.9849,0,0,0.7969,46.1207,5.4541,16.0452
"cognitive training:DBT + TAU",0,0,0,0,0,0,0,0,0,0,0,29.1423,0,0,0,29.1423,0,0,0,0,41.715300000000006,0,0
"cognitive training:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.625,0,0,0,0,58.375,0,0
"cognitive training:mindfulness",9.9177,2.9304,0,0,0,1.266,7.2968,10.749,4.6596,0,2.6475,0,0,0,3.7084,0,1.1884,0,0,7.59,39.9833,6.7968,1.266
"cognitive training:mindfulness + TAU",0,0,0,0,0,0,0,0,0,29.1423,0,0,0,0,0,29.1423,0,0,0,0,41.715300000000006,0,0
